"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
"Industry-by-Industry Total Requirements, After Redefinitions - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
331,Primary metals,0.0148952,0.0052642,0.0586341,0.0312690,0.0186748,0.0105557,0.0478596,0.0306962,0.0411289,1.4935191,0.4266293,0.2482434,0.0448034,0.2920511,0.2332367,0.0869328,0.1220034,0.0898198,0.0245476,0.0212258,0.0079740,0.0427858,0.0209760,0.0379278,0.0153962,0.0430473,0.0082362,0.0059489,0.0071162,0.0064013,0.0079257,0.0113219,0.0257789,0.0218706,0.0135438,0.0087601,0.0138193,0.0152530,0.0127812,0.0047201,0.0041063,0.0140216,0.0109415,0.0029080,0.0048945,0.0018148,0.0032869,0.0018919,0.0114238,0.0095807,0.0025623,0.0085293,0.0092514,0.0051980,0.0111891,0.0377801,0.0083371,0.0059522,0.0087939,0.0063139,0.0145905,0.0040371,0.0113384,0.0079093,0.0087198,0.0205235,0.0192573,0.0135046,0.0129106,0.0102823,0.0323338
332,Fabricated metal products,0.0154331,0.0066005,0.0379407,0.0260369,0.0163133,0.0122774,0.0738742,0.0465192,0.0321465,0.0819029,1.1550639,0.1060568,0.0311828,0.1255609,0.0961496,0.0705148,0.0908892,0.0473772,0.0344670,0.0293359,0.0112661,0.0575304,0.0284989,0.0289312,0.0233362,0.0558891,0.0082028,0.0059503,0.0072214,0.0065327,0.0087552,0.0102944,0.0167303,0.0401534,0.0143159,0.0105899,0.0319119,0.0152717,0.0144714,0.0062051,0.0042524,0.0214510,0.0113541,0.0034351,0.0052018,0.0018986,0.0035281,0.0026188,0.0108230,0.0120293,0.0027643,0.0109175,0.0096927,0.0057455,0.0099237,0.0481127,0.0082589,0.0056041,0.0090592,0.0062840,0.0189260,0.0037954,0.0110993,0.0124753,0.0115139,0.0208073,0.0200151,0.0109584,0.0107472,0.0113409,0.0402287
333,Machinery,0.0100336,0.0030345,0.0330215,0.0432449,0.0292017,0.0064190,0.0259709,0.0094763,0.0086793,0.0194527,0.0229700,1.1063284,0.0038112,0.0273752,0.0793835,0.0203056,0.0089933,0.0119604,0.0124379,0.0075141,0.0030526,0.0142194,0.0226634,0.0209382,0.0120385,0.0170313,0.0044721,0.0032137,0.0039954,0.0034108,0.0045188,0.0067163,0.0055054,0.0068893,0.0083628,0.0043953,0.0031859,0.0190024,0.0155804,0.0022164,0.0022209,0.0043024,0.0051849,0.0014263,0.0024202,0.0017954,0.0016185,0.0009881,0.0052387,0.0059107,0.0013665,0.0062095,0.0042240,0.0029018,0.0078101,0.0458104,0.0091010,0.0031135,0.0041893,0.0034373,0.0047038,0.0022139,0.0044236,0.0027828,0.0044198,0.0139164,0.0062091,0.0042528,0.0054824,0.0068688,0.0172491
334,Computer and electronic products,0.0071745,0.0030409,0.0072159,0.0073245,0.0050630,0.0036461,0.0124218,0.0195656,0.0124322,0.0191788,0.0293796,0.0365539,1.1410294,0.0520174,0.0650623,0.1023174,0.0252492,0.0240810,0.0118860,0.0194963,0.0073404,0.0172128,0.0234772,0.0076984,0.0124677,0.0219799,0.0240215,0.0070016,0.0060560,0.0067603,0.0070401,0.0055470,0.0068065,0.0087952,0.0061725,0.0046110,0.0031785,0.0058732,0.0054537,0.0131485,0.0099040,0.0311470,0.0233293,0.0035384,0.0072424,0.0017920,0.0083309,0.0007918,0.0060231,0.0060436,0.0065393,0.0159133,0.0108073,0.0176037,0.0137455,0.0177738,0.0077290,0.0124653,0.0064934,0.0048843,0.0073430,0.0034269,0.0054215,0.0052518,0.0059793,0.0137550,0.0442573,0.0192745,0.0047538,0.0068775,0.0125296
335,"Electrical equipment, appliances, and components",0.0172692,0.0029706,0.0043494,0.0054875,0.0086258,0.0020351,0.0285747,0.0074759,0.0040151,0.0137919,0.0164717,0.0530403,0.0101834,1.0969979,0.0255581,0.0113789,0.0063779,0.0091050,0.0091364,0.0047742,0.0018864,0.0072999,0.0048732,0.0038912,0.0045285,0.0091891,0.0028220,0.0026333,0.0024208,0.0061501,0.0026081,0.0026277,0.0068034,0.0038428,0.0028477,0.0040536,0.0015902,0.0029136,0.0033690,0.0014963,0.0013568,0.0083032,0.0029807,0.0012941,0.0025736,0.0007600,0.0015532,0.0009768,0.0041423,0.0034541,0.0010265,0.0084547,0.0048442,0.0017948,0.0042273,0.0132805,0.0027930,0.0014453,0.0032265,0.0047188,0.0043968,0.0016343,0.0043802,0.0040840,0.0030742,0.0081456,0.0066089,0.0139739,0.0026612,0.0033292,0.0172891
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0078231,0.0048561,0.0092745,0.0147762,0.0066692,0.0034877,0.0081354,0.0267579,0.0110403,0.0168918,0.0142603,0.0493075,0.0064510,0.0155059,1.4085337,0.0254234,0.0169418,0.0112812,0.0123966,0.0106662,0.0061285,0.0176924,0.0088191,0.0074744,0.0064704,0.0103636,0.0092772,0.0099082,0.0127972,0.0049780,0.0107230,0.0042872,0.0060290,0.0083987,0.0234377,0.0113248,0.0025686,0.0064317,0.0168712,0.0034143,0.0036256,0.0056499,0.0052870,0.0019672,0.0031576,0.0012035,0.0019368,0.0006726,0.0052328,0.0115433,0.0017958,0.0031176,0.0054490,0.0042832,0.0203542,0.0249610,0.0042476,0.0032276,0.0065266,0.0040464,0.0139425,0.0034772,0.0043337,0.0036910,0.0059928,0.0317807,0.0175543,0.0045009,0.0441924,0.0082546,0.0107186
3364OT,Other transportation equipment,0.0007192,0.0009082,0.0005217,0.0007967,0.0004326,0.0005296,0.0007209,0.0012132,0.0009373,0.0014994,0.0012149,0.0029608,0.0005639,0.0013020,0.0075836,1.2540701,0.0008818,0.0006184,0.0008736,0.0005935,0.0003157,0.0010108,0.0006439,0.0005574,0.0005458,0.0008985,0.0007664,0.0003909,0.0004480,0.0003048,0.0005919,0.0084462,0.0143468,0.0297632,0.0024775,0.0017016,0.0003116,0.0115540,0.0007968,0.0003052,0.0003454,0.0004152,0.0004755,0.0002272,0.0005460,0.0001191,0.0003196,0.0000512,0.0004126,0.0005421,0.0001782,0.0003465,0.0014722,0.0003236,0.0006375,0.0018073,0.0002857,0.0002655,0.0003796,0.0002938,0.0004710,0.0002599,0.0015406,0.0002448,0.0003945,0.0011743,0.1054491,0.0027263,0.0013095,0.0003998,0.0010964
337,Furniture and related products,0.0002918,0.0001170,0.0002335,0.0006251,0.0002634,0.0003532,0.0102481,0.0043529,0.0004444,0.0005108,0.0004732,0.0010553,0.0005464,0.0005058,0.0006893,0.0006718,1.0438121,0.0017895,0.0003596,0.0006811,0.0003824,0.0007409,0.0004170,0.0003208,0.0002792,0.0017731,0.0006701,0.0006431,0.0003267,0.0003418,0.0016813,0.0002167,0.0007962,0.0002838,0.0003268,0.0002374,0.0002190,0.0002859,0.0002643,0.0001595,0.0003048,0.0004473,0.0009137,0.0001861,0.0002291,0.0000843,0.0001544,0.0014341,0.0007208,0.0002682,0.0001608,0.0001561,0.0005550,0.0002229,0.0002565,0.0003796,0.0001959,0.0003994,0.0004327,0.0002825,0.0012275,0.0016053,0.0017979,0.0003900,0.0005739,0.0006001,0.0003857,0.0002265,0.0010825,0.0003922,0.0054014
339,Miscellaneous manufacturing,0.0008839,0.0003104,0.0008171,0.0010977,0.0006421,0.0004562,0.0018600,0.0013158,0.0015344,0.0012687,0.0014980,0.0070385,0.0007744,0.0051526,0.0067925,0.0012241,0.0017767,1.0492026,0.0009782,0.0028986,0.0092456,0.0012037,0.0017966,0.0007405,0.0010962,0.0021694,0.0012394,0.0029829,0.0010528,0.0006057,0.0019863,0.0005732,0.0005903,0.0008844,0.0007809,0.0008964,0.0004384,0.0009987,0.0012858,0.0006162,0.0006224,0.0009722,0.0009449,0.0004278,0.0007090,0.0002917,0.0004373,0.0001207,0.0010994,0.0008889,0.0003708,0.0006321,0.0018528,0.0006207,0.0026492,0.0041458,0.0014497,0.0178047,0.0254618,0.0029728,0.0079913,0.0012211,0.0018794,0.0006147,0.0014068,0.0030067,0.0030088,0.0019259,0.0006109,0.0034759,0.0012823
311FT,Food and beverage and tobacco products,0.1029630,0.0091075,0.0016441,0.0018376,0.0013530,0.0015707,0.0020802,0.0048691,0.0079170,0.0036888,0.0025042,0.0021282,0.0007464,0.0023749,0.0033214,0.0012326,0.0033486,0.0030686,1.2392398,0.0105917,0.0227769,0.0062229,0.0123449,0.0042686,0.0198299,0.0095359,0.0034272,0.0013728,0.0048427,0.0028263,0.0021858,0.0052001,0.0014556,0.0070240,0.0018930,0.0013463,0.0008331,0.0021134,0.0013228,0.0013307,0.0021543,0.0016644,0.0026119,0.0020612,0.0021295,0.0008045,0.0015434,0.0002545,0.0046575,0.0024186,0.0014073,0.0023185,0.0054983,0.0022761,0.0028642,0.0027432,0.0167691,0.0039308,0.0109227,0.0232362,0.0804841,0.0072142,0.0279719,0.0223526,0.0900731,0.0029516,0.0072434,0.0018241,0.0089535,0.0395848,0.0022188
